"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"BOM","BOWMAN LAKE","YUBA R","NEVADA","-120.600000","39.458000","5,650","Nevada Irrigation District",""
"BP1","BIG PINE CREEK 1","OWENS R","INYO","-118.483000","37.125000","10,000","City of Los Angeles; Dept of Water and Power",""
"BP2","BIG PINE CREEK 2","OWENS R","INYO","-118.470000","37.127000","9,700","City of Los Angeles; Dept of Water and Power",""
"BP3","BIG PINE CREEK 3","OWENS R","INYO","-118.475000","37.128000","9,800","City of Los Angeles; Dept of Water and Power",""
"BRB","BARBER CREEK","SURPRISE VALLEY","MODOC","-120.125000","41.235000","6,500","Warner Mountain Ranger District",""
"BRG","BLUE RIDGE","MOJAVE DESERT","LOS ANGELES","-117.753000","34.383000","7,200",".None Specified",""
"BSH","BISHOP PASS","KINGS R","FRESNO","-118.557000","37.100000","11,200","CA Dept of Water Resources/Snow Surveys",""
"BSK","BURNSIDE LAKE","CARSON R","ALPINE","-119.894200","38.719400","8,129","Natural Resources Conservation Service",""
"BSM","BEASORE MEADOWS","SAN JOAQUIN R","MADERA","-119.480000","37.442000","6,800",".None Specified",""
"BSP","BISHOP LAKE","OWENS R","INYO","-118.545000","37.123000","11,300","CA Dept of Water Resources",""
"BTA","BETA","AMERICAN R","EL DORADO","-120.200000","38.800000","7,600","CA Dept of Water Resources/Operations and Maintenance",""
"BUK","BUCK MOUNTAIN","MC CLOUD R","SISKIYOU","-121.837000","41.353000","5,550",".None Specified",""
"BUN","BURNT CORRAL MEADOW","KERN R","TULARE","-118.493000","36.225000","6,200",".None Specified",""
"BV1","BEAR VALLEY RIDGE 1","MOKELUMNE R","AMADOR","-120.228000","38.618000","6,700","Pacific Gas and Electric Company, Angels Camp",""
"BV2","BEAR VALLEY RIDGE 2","MOKELUMNE R","AMADOR","-120.228000","38.527000","6,600",".None Specified",""
"BWH","BIG WHITNEY MEADOW","KERN R","TULARE","-118.255000","36.440000","9,750","CA Dept of Water Resources",""
"BWR","BREWER CREEK","MC CLOUD R","SISKIYOU","-122.100000","41.435000","6,250","McCloud Ranger District",""
"BWY","BROCKWAY SUMMIT","LAKE TAHOE","PLACER","-120.072000","39.262000","7,100",".None Specified",""
"BXC","BOX CAMP","SCOTT R","SISKIYOU","-123.165000","41.597000","6,450","Salmon/Scott River Ranger District",""
"CAP","CAPLES LAKE","AMERICAN R","ALPINE","-120.042000","38.710000","8,000","US Bureau of Reclamation",""
"CBM","COLBY MEADOW","SAN JOAQUIN R","FRESNO","-118.720000","37.178000","9,700","Southern California Edison Company, Big Creek",""
"CBT","CRABTREE MEADOW","KERN R","TULARE","-118.347946","36.563683","10,700","CA Dept of Water Resources/Snow Surveys",""
"CC5","CASTLE CREEK 5","YUBA R","NEVADA","-120.353000","39.353000","7,400","Central Sierra Snow Lab",""
"CCO","CISCO","YUBA R","PLACER","-120.543000","39.303000","5,900","Pacific Gas and Electric Company, Auburn",""
"CDP","CEDAR PASS","PIT R","MODOC","-120.303000","41.583000","7,100","Natural Resources Conservation Service",""
"CDS","CEDAR SPRINGS","MOJAVE DESERT","none specified","-117.883000","34.355000","6,500",".None Specified",""
"CFM","CLARK FORK MEADOW","STANISLAUS R","ALPINE","-119.680000","38.362000","8,900","Pacific Gas and Electric Company, Angels Camp",""
"CHF","CHESTER FLAT","FEATHER R","PLUMAS","-121.250000","40.283000","4,600","Eagle Lake Ranger District",""
"CHK","CHALK BLUFF","YUBA R","NEVADA","-120.810000","39.305000","4,850","Nevada Irrigation District",""
"CHM","CHILKOOT MEADOW","SAN JOAQUIN R","MADERA","-119.490000","37.410000","7,150","US Bureau of Reclamation",""
"CHP","CHAGOOPA PLATEAU","KERN R","TULARE","-118.446716","36.497143","10,300","CA Dept of Water Resources/Snow Surveys",""
"CHQ","CHIQUITO CREEK","SAN JOAQUIN R","MADERA","-119.408000","37.498000","6,800","Bass Lake Ranger District",""
"CHU","CHURCH MEADOWS","FEATHER R","SIERRA","-120.623000","39.682000","6,700","CA Dept of Water Resources/Beckwourth",""
"CKT","CHILKOOT LAKE","SAN JOAQUIN R","MADERA","-119.480000","37.408000","7,450","Bass Lake Ranger District",""
"CLI","CLIFF CAMP","KINGS R","FRESNO","-118.975000","36.987000","6,300",".None Specified",""
"CLM","CLOVER MEADOW","SAN JOAQUIN R","MADERA","-119.275000","37.528000","7,000","Bass Lake Ranger District",""
"CLT","CHARLOTTE RIDGE","KINGS R","FRESNO","-118.415000","36.770000","10,700","CA Dept of Water Resources",""
"CMC","CHAPMAN CREEK","YUBA R","SIERRA","-120.533000","39.633000","5,850","Yuba River Ranger District",""
"CMM","CAMPITO MOUNTAIN","OWENS R","INYO","-118.173000","37.497000","10,200",".None Specified",""
"CNM","CANNELL MEADOW","KERN R","TULARE","-119.372000","35.833000","7,500",".None Specified",""
"CNP","CINCO POSES","SAN JACINTO R","RIVERSIDE","-116.753000","33.830000","7,500",".None Specified",""
"CPF","CARPENTER FLAT","AMERICAN R","PLACER","-120.643000","39.303000","5,300","Pacific Gas and Electric Company, Auburn",""
"CRA","CORA LAKES","SAN JOAQUIN R","MADERA","-119.267000","37.598000","8,400","Bass Lake Ranger District",""
"CRF","CORRAL FLAT","MOKELUMNE R","EL DORADO","-120.218000","38.625000","7,200","Amador Ranger District",""
"CRL","CHARLOTTE LAKE","KINGS R","FRESNO","-118.426010","36.777520","10,400","CA Dept of Water Resources/Snow Surveys",""
"CRM","CORRAL MEADOW","STANISLAUS R","TUOLUMNE","-120.040000","38.398000","6,650","Calaveras Ranger District",""
"CSF","CISCO FLAT","YUBA R","PLACER","-120.550000","39.325000","5,700",".None Specified",""
"CSL","CENT SIERRA SNOW LAB","YUBA R","NEVADA","-120.367000","39.325000","6,900","Natural Resources Conservation Service",""
"CSV","CASA VIEJA MEADOWS","KERN R","TULARE","-118.267680","36.198100","8,300","CA Dept of Water Resources/Snow Surveys",""
"CTH","CHRISTMAS TREE HILL","SANTA ANA R","SAN BERNARDINO","-116.845000","34.127000","8,500",".None Specified",""
"CTM","CENTER MOUNTAIN","WALKER R","MONO","-119.467000","38.150000","9,400",".None Specified",""
"CTS","COTTAGE SPRING","STANISLAUS R","CALAVERAS","-120.208000","38.355000","5,750",".None Specified",""
"CUR","COURTRIGHT","KINGS R","FRESNO","-118.965000","37.072000","8,350","Pacific Gas and Electric Company, Auberry",""
"CW1","COTTONWOOD LAKES 1","OWENS R","INYO","-118.177000","36.483000","10,150","City of Los Angeles; Dept of Water and Power",""
"CW2","COTTONWOOD LAKES 2","OWENS R","INYO","-118.217000","36.483000","11,100","City of Los Angeles; Dept of Water and Power",""
"CWD","COTTONWOOD LAKES","OWENS R","INYO","-118.177551","36.483826","10,150","CA Dept of Water Resources/Snow Surveys",""
"CWF","CROWDER FLAT","KLAMATH R","MODOC","-120.751900","41.893400","5,100","Natural Resources Conservation Service",""
"CWM","COTTONWOOD MEADOWS","TUOLUMNE R","TUOLUMNE","-119.772000","37.908000","6,000",".None Specified",""
"CWP","COTTONWOOD PASS","KERN R","TULARE","-118.217000","36.450000","11,050","CA Dept of Water Resources",""
"CXS","CARSON PASS","AMERICAN R","ALPINE","-120.002100","38.692400","8,353","Natural Resources Conservation Service",""
"CYT","COYOTE LAKE","SAN JOAQUIN R","FRESNO","-119.073000","37.208000","8,850","Southern California Edison Company, Big Creek",""
"DAG","DAGGETTS PASS","LAKE TAHOE","State of Nevada","-119.883000","38.983000","7,350",".None Specified",""
"DAN","DANA MEADOWS","TUOLUMNE R","TUOLUMNE","-119.257000","37.897000","9,800","CA Dept of Water Resources/Snow Surveys",""
"DDF","DEADFALL LAKES","TRINITY R","TRINITY","-122.503000","41.318000","7,200","Mount Shasta Ranger District",""
"DDM","DEADMAN CREEK","STANISLAUS R","TUOLUMNE","-119.654114","38.331596","9,250","CA Dept of Water Resources/Flood Management",""
"DDR","DODGE RIDGE","TUOLUMNE R","TUOLUMNE","-119.927000","38.190000","8,150",".None Specified",""
"DFL","DEER FLATS","SAN GABRIEL R","LOS ANGELES","-117.833000","34.338000","6,800",".None Specified",""
"DHC","DEAD HORSE CANYON","MC CLOUD R","SISKIYOU","-121.775000","41.208000","4,500","McCloud Ranger District",""
"DHM","DEAD HORSE MEADOW","KERN R","TULARE","-118.587000","35.873000","7,300","Western Divide Ranger District",""
"DMN","DIAMOND CROSSING","AMERICAN R","PLACER","-120.283000","39.112000","6,050","Placer County Water Agency",""
"DNF","DEADMAN FLAT","AMERICAN R","PLACER","-120.363000","39.205000","6,100",".None Specified",""
"DNR","DONNER LAKE (SNOW COURSE)","TRUCKEE R","NEVADA","-120.292000","39.320000","6,000",".None Specified",""
"DNS","DONNER SUMMIT","YUBA R","PLACER","-120.338000","39.310000","6,900","Pacific Gas and Electric Company, Auburn",""
"DP2","DONNER PARK 2","TRUCKEE R","PLACER","-120.245000","39.320000","6,000",".None Specified",""
"DPO","DEVILS POSTPILE","SAN JOAQUIN R","MADERA","-119.084670","37.629410","7,569","CA Dept of Water Resources/Snow Surveys",""
"DRL","DRY LAKE","SANTA ANA R","SAN BERNARDINO","-116.827000","34.122000","9,000",".None Specified",""
"DRN","DORRINGTON","STANISLAUS R","CALAVERAS","-120.278000","38.305000","4,750",".None Specified",""
"DRR","DARRINGTON","AMERICAN R","EL DORADO","-120.053000","38.825000","7,100","CA Dept of Water Resources",""
"DSF","DINKEY SAND FLAT","KINGS R","FRESNO","-119.152000","37.047000","5,500",".None Specified",""
"DSM","DODSONS MEADOW","KINGS R","FRESNO","-118.958000","37.092000","8,050","Pacific Gas and Electric Company, Auberry",""
"DSS","DISMAL SWAMP","SURPRISE VALLEY","MODOC","-120.165000","41.993000","7,050","Natural Resources Conservation Service",""
"DTL","DUTCH LAKE","SAN JOAQUIN R","FRESNO","-118.997000","37.258000","9,100","Southern California Edison Company, Big Creek",""
"DYM","DYNAMITE MEADOW","SCOTT R","SISKIYOU","-122.817000","41.233000","5,700","Salmon/Scott River Ranger District",""
"EBB","EBBETTS PASS","CARSON R","ALPINE","-119.808000","38.561000","8,700","Natural Resources Conservation Service",""
"ECS","ECHO SUMMIT","AMERICAN R","EL DORADO","-120.037000","38.828000","7,450","Placerville Ranger District",""
"EGM","EAGLE MEADOW","STANISLAUS R","TUOLUMNE","-119.832000","38.288000","7,500","Pacific Gas and Electric Company, Angels Camp",""
"EGP","EAGLE PEAK","PIT R","MODOC","-120.230000","41.255000","7,200",".None Specified",""
"ELL","ELLERY LAKE","MONO LAKE","MONO","-119.248000","37.938000","9,600","Southern California Edison Company, Bishop",""
"EML","EMERALD LAKE","SAN JOAQUIN R","FRESNO","-118.762000","37.183000","10,600","Southern California Edison Company, Big Creek",""
"EMV","EMIGRANT VALLEY","AMERICAN R","ALPINE","-120.047000","38.672000","8,400",".None Specified",""
"ENM","ENGLISH MOUNTAIN","YUBA R","NEVADA","-120.525000","39.436000","7,100","Nevada Irrigation District",""
"EP5","ECHO PEAK 5","LAKE TAHOE","EL DORADO","-120.079000","38.849000","7,800","Natural Resources Conservation Service",""
"EPP","EAST PIUTE PASS","OWENS R","INYO","-118.687000","37.235000","10,800","CA Dept of Water Resources",""
"ERB","EUREKA BOWL","FEATHER R","PLUMAS","-120.720000","39.755000","6,800","CA Dept of Water Resources/Beckwourth",""
"ETN","ETNA MOUNTAIN","SCOTT R","SISKIYOU","-123.001000","41.400000","5,900","Salmon/Scott River Ranger District",""
"EUR","EUREKA LAKE","FEATHER R","PLUMAS","-120.713000","39.762000","6,200","CA Dept of Water Resources/Beckwourth",""
"FBN","FREEL BENCH","LAKE TAHOE","EL DORADO","-119.950000","38.850000","7,300","Natural Resources Conservation Service",""
"FCV","FRENCHMAN COVE","FEATHER R","PLUMAS","-120.265000","39.897000","5,800","CA Dept of Water Resources/Beckwourth",""
"FDC","FORESTDALE CREEK","CARSON R","ALPINE","-119.959700","38.682400","8,017","Natural Resources Conservation Service",""
"FDM","FRED MEADOW","KINGS R","FRESNO","-119.080000","37.023000","6,950","Pacific Gas and Electric Company, Auberry",""
"FEM","FEATHER RIVER MEADOW","FEATHER R","LASSEN","-121.422000","40.355000","5,400","Pacific Gas and Electric Company, Rogers Flat",""
"FKM","FORKED MEADOW CREEK","KINGS R","FRESNO","-119.097000","37.034000","5,800","Pacific Gas and Electric Company, Auberry",""
"FL2","FLOWER LAKE 2","OWENS R","INYO","-118.360000","36.770000","10,660","CA Dept of Water Resources",""
"FLC","FLORENCE LAKE","SAN JOAQUIN R","FRESNO","-118.962000","37.277000","7,200","Southern California Edison Company, Big Creek",""
"FLE","FLETCHER LAKE","MERCED R","TUOLUMNE","-119.343300","37.796700","10,300","Yosemite National Park",""
"FLL","FALLEN LEAF LAKE","LAKE TAHOE","EL DORADO","-120.056000","38.932000","6,250","Natural Resources Conservation Service",""
"FNF","FURNACE FLAT","YUBA R","NEVADA","-120.503000","39.355000","6,700","Pacific Gas and Electric Company, Auburn",""
"FNP","FINDLEY PEAK","YUBA R","NEVADA","-120.572000","39.470000","6,500","Nevada Irrigation District",""
"FOD","LAKE FORDYCE","YUBA R","NEVADA","-120.500000","39.360000","6,500","Pacific Gas and Electric Company, Auburn",""
"FOR","FOUR TREES","FEATHER R","PLUMAS","-121.322541","39.812365","5,150","CA Dept of Water Resources/O&M Oroville Field Division",""
"FP1","FREDONYER PASS 1","FEATHER R","LASSEN","-120.867000","40.362000","5,750",".None Specified",""
"FP2","FREDONYER PASS 2","FEATHER R","LASSEN","-120.877000","40.367000","5,200",".None Specified",""
"FP3","FREDONYER PASS 3","FEATHER R","LASSEN","-120.872000","40.375000","5,850","Eagle Lake Ranger District",""
"FRN","FORNI RIDGE","AMERICAN R","EL DORADO","-120.213000","38.805000","7,600","US Bureau of Reclamation",""
"FRW","FAREWELL GAP","KAWEAH R","TULARE","-118.578903","36.415089","9,500","CA Dept of Water Resources/Snow Surveys",""
"GBN","GIBSONVILLE","YUBA R","SIERRA","-120.932000","39.725000","5,400","South Feather Water and Power Agency",""
"GCM","GRACE MEADOW","TUOLUMNE R","TUOLUMNE","-119.617000","38.150000","8,900",".None Specified",""
"GEM","GEM PASS","MONO LAKE","MONO","-119.170000","37.780000","10,750","CA Dept of Water Resources/Snow Surveys",""
"GFL","GIN FLAT (COURSE)","MERCED R","MARIPOSA","-119.773000","37.765000","7,000","Yosemite National Park",""
"GFR","GIANT FOREST","KAWEAH R","TULARE","-118.768000","36.570000","6,400","Sequoia and Kings Canyon National Parks",""
"GIN","GIN FLAT","MERCED R","MARIPOSA","-119.773000","37.767000","7,050","CA Dept of Water Resources/Snow Surveys",""
"GKS","GREEK STORE","AMERICAN R","PLACER","-120.558000","39.075000","5,600","US Bureau of Reclamation",""
"GL2","GLENBROOK 2 (NEVADA)","LAKE TAHOE","State of Nevada","-119.908000","39.083000","6,900","Truckee River Basin Water Committee, Reno",""
"GML","GEM LAKE","MONO LAKE","MONO","-119.162000","37.752000","9,150","Southern California Edison Company, Bishop",""
"GNF","GIANT FOREST (USACE)","KAWEAH R","TULARE","-118.765000","36.562000","6,650","US Army Corps of Engineers",""
"GNG","GRANT GROVE","KINGS R","TULARE","-118.963000","36.742000","6,600","Sequoia and Kings Canyon National Parks",""
"GNL","GIANELLI MEADOW","STANISLAUS R","TUOLUMNE","-119.893188","38.204308","8,400","US Bureau of Reclamation",""
"GNM","GARDNER MEADOW","STANISLAUS R","TUOLUMNE","-120.037000","38.408000","6,800",".None Specified",""
"GOL","GOLD LAKE","FEATHER R","SIERRA","-120.617179","39.674783","6,750","CA Dept of Water Resources/Operations and Maintenance",""
"GRM","GREEN MOUNTAIN","SAN JOAQUIN R","MADERA","-119.238000","37.555000","7,900","US Bureau of Reclamation",""
"GRV","GRAVEYARD MEADOW","SAN JOAQUIN R","MADERA","-119.290000","37.465000","6,900","US Bureau of Reclamation",""
"GRZ","GRIZZLY RIDGE","FEATHER R","PLUMAS","-120.645000","39.917000","6,900","CA Dept of Water Resources/Operations and Maintenance",""
"GYF","GUYOT FLAT","KERN R","TULARE","-118.348000","36.523000","10,650","CA Dept of Water Resources",""
"GYR","GRAY ROCK LAKES","SACRAMENTO R","SISKIYOU","-122.417000","41.217000","6,200","Mount Shasta Ranger District",""
"HBS","HUMBUG SUMMIT","FEATHER R","PLUMAS","-121.298000","40.187000","4,850",".None Specified",""
"HCL","HUCKLEBERRY LAKE","TUOLUMNE R","TUOLUMNE","-119.745000","38.102000","7,800","Summit Ranger District",""
"HCM","HORSE CORRAL MEADOW","KINGS R","FRESNO","-118.750000","36.752000","7,600","Kings River Water Association",""
"HGM","HAGANS MEADOW","LAKE TAHOE","EL DORADO","-119.940000","38.853000","8,000","Natural Resources Conservation Service",""
"HHM","HIGHLAND MEADOW","MOKELUMNE R","ALPINE","-119.805748","38.487312","8,700","CA Dept of Water Resources/Snow Surveys",""
"HIG","HIGHLAND LAKES","TRINITY R","TRINITY","-122.483000","41.093000","6,030","US Bureau of Reclamation",""
"HKM","HOCKETT MEADOWS","KAWEAH R","TULARE","-118.655000","36.382000","8,500","Sequoia and Kings Canyon National Parks",""
"HLF","HALLS FLAT","PIT R","LASSEN","-121.267000","40.750000","5,600",".None Specified",""
"HLK","HELLS KITCHEN","STANISLAUS R","CALAVERAS","-120.100000","38.417000","6,550","Calaveras Ranger District",""
"HLM","HELMS MEADOW","KINGS R","FRESNO","-119.005000","37.122000","8,250","Pacific Gas and Electric Company, Auberry",""
"HLV","HOLCOMB VALLEY","SANTA ANA R","none specified","-116.920000","34.305000","7,240",".None Specified",""
"HMB","HUMBUG","FEATHER R","PLUMAS","-121.368000","40.115000","6,500","CA Dept of Water Resources/Operations and Maintenance",""
"HMS","HAMS STATION","MOKELUMNE R","AMADOR","-120.377000","38.543000","5,500","Amador Ranger District",""
"HNT","HUNTINGTON LAKE (USBR)","SAN JOAQUIN R","FRESNO","-119.221000","37.228000","7,000","US Bureau of Reclamation",""
"HOR","HORSE MEADOW (NRCS)","CARSON R","ALPINE","-119.887300","38.836500","8,557","Natural Resources Conservation Service",""
"HRF","HARKNESS FLAT","FEATHER R","LASSEN","-121.275000","40.418000","6,200","Pacific Gas and Electric Company, Rogers Flat",""
"HRG","HERRING CREEK","STANISLAUS R","TUOLUMNE","-119.942000","38.242000","7,300","Pacific Gas and Electric Company, Angels Camp",""
"HRK","HARKNESS FLAT","FEATHER R","LASSEN","-121.275000","40.418000","6,200","CA Dept of Water Resources/Operations and Maintenance",""
"HRS","HORSE MEADOW","TUOLUMNE R","TUOLUMNE","-119.662000","38.158000","8,400","CA Dept of Water Resources/Snow Surveys",""
"HRT","HEART LAKE","SAN JOAQUIN R","FRESNO","-118.877000","37.272000","10,100","Southern California Edison Company, Big Creek",""
"HS2","HUMBUG SUMMIT 2","FEATHER R","PLUMAS","-121.298000","40.187000","4,850","Pacific Gas and Electric Company, Rogers Flat",""
"HSF","HASKINS FLAT","FEATHER R","PLUMAS","-121.205000","39.867000","5,200",".None Specified",""
"HTT","HUNTINGTON LAKE","SAN JOAQUIN R","FRESNO","-119.222000","37.228000","7,000","Southern California Edison Company, Big Creek",""
"HUL","HULL MTN","EEL R","MENDOCINO","-122.948330","39.533330","6,461","CA Dept of Water Resources/Flood Management",""
"HVN","HEAVENLY VALLEY","LAKE TAHOE","EL DORADO","-119.917000","38.929000","8,800","Natural Resources Conservation Service",""
"HYC","HAYS CANYON","SURPRISE VALLEY","MODOC","-119.892000","41.275000","6,400","Natural Resources Conservation Service",""
"HYS","HUYSINK","AMERICAN R","PLACER","-120.527000","39.282000","6,600","US Bureau of Reclamation",""
"HYV","HAYPRESS VALLEY","YUBA R","SIERRA","-120.520000","39.543000","6,800",".None Specified",""
"HZS","HAZELVIEW SUMMIT","KLAMATH R","SISKIYOU","-123.748000","41.972000","2,500",".None Specified",""
"IDC","INDEPENDENCE CAMP","TRUCKEE R","SIERRA","-120.298548","39.452588","7,000","Natural Resources Conservation Service",""
"IDN","INDEPENDENCE LAKE (SNOW COURSE)","TRUCKEE R","NEVADA","-120.317000","39.425000","8,450",".None Specified",""
"IDP","INDEPENDENCE LAKE (SCS)","TRUCKEE R","NEVADA","-120.322000","39.435000","8,450","Natural Resources Conservation Service",""
"IH4","ICE HOUSE 4","SANTA ANA R","LOS ANGELES","-117.617000","34.252000","5,800",".None Specified",""
"IHS","ICE HOUSE","AMERICAN R","EL DORADO","-120.375000","38.812000","5,300","Pacific Ranger District",""
"INN","INDEPENDENCE CREEK","TRUCKEE R","SIERRA","-120.293000","39.494000","6,500","Natural Resources Conservation Service",""
"IRN","IRONWOOD","SANTA ANA R","SAN BERNARDINO","-117.012000","34.303000","6,650",".None Specified",""
"IS2","ISLIP 2","MOJAVE DESERT","LOS ANGELES","-117.840000","34.355000","7,400",".None Specified",""
"IS3","ISLIP 3","MOJAVE DESERT","LOS ANGELES","-117.843000","34.353000","7,600",".None Specified",""
"IS4","ISLIP 4","MOJAVE DESERT","LOS ANGELES","-117.833000","34.347000","7,550",".None Specified",""
"JCM","JACKASS MEADOW","SAN JOAQUIN R","MADERA","-119.330000","37.497000","6,950","Bass Lake Ranger District",""
"JHN","JOHNSON LAKE","MERCED R","MADERA","-119.517000","37.568000","8,500",".None Specified",""
"JKM","JACKSON MEADOWS (SNOW COURSE)","YUBA R","NEVADA","-120.553000","39.500000","5,950",".None Specified",""
"JNM","JUNCTION MEADOW","KINGS R","FRESNO","-118.438000","36.755000","8,250",".None Specified",""
